Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
8/29/2025,2,($134.05),$31.20,$31.20,$0.00,$3.80,($149.65),$0.00,100.00%,$15.60,$15.60,$0.00,$15.60,$0.00,15.00,$6.25,$22.50,$6.90,0.81%,
9/2/2025,4,($142.90),($8.85),$54.35,($63.20),$7.60,($142.90),($63.20),25.00%,($2.21),$54.35,($21.07),$54.35,($30.65),200.00,$14.38,$14.06,$16.28,1.62%,
9/3/2025,1,($127.30),$15.60,$15.60,$0.00,$1.90,($127.30),$0.00,100.00%,$15.60,$15.60,$0.00,$15.60,$0.00,0.00,$0.00,$17.50,$1.90,0.40%,
9/5/2025,2,($189.85),($62.55),$0.00,($62.55),$3.80,($189.85),($62.55),0.00%,($31.28),$0.00,($31.28),$0.00,($31.90),90.00,$29.38,$16.25,$47.53,0.81%,
9/17/2025,4,($239.95),($50.10),$0.00,($50.10),$7.60,($239.95),($50.10),0.00%,($12.53),$0.00,($12.53),$0.00,($13.15),30.00,$10.63,$9.38,$21.90,1.62%,
9/19/2025,1,($248.10),($8.15),$0.00,($8.15),$1.90,($248.10),($8.15),0.00%,($8.15),$0.00,($8.15),$0.00,($8.15),0.00,$6.25,$0.00,$8.15,0.40%,
9/22/2025,1,($257.50),($9.40),$0.00,($9.40),$1.90,($257.50),($9.40),0.00%,($9.40),$0.00,($9.40),$0.00,($9.40),25.00,$7.50,$17.50,$26.90,0.40%,
9/24/2025,2,($308.80),($51.30),$0.00,($51.30),$3.80,($308.80),($51.30),0.00%,($25.65),$0.00,($25.65),$0.00,($25.65),20.00,$23.75,$13.75,$39.40,0.81%,
9/25/2025,5,($310.80),($2.00),$36.20,($38.20),$9.50,($310.80),($36.30),40.00%,($0.40),$18.10,($12.73),$29.35,($21.90),235.00,$7.50,$10.00,$10.40,2.02%,
9/26/2025,6,($294.70),$16.10,$76.80,($60.70),$11.40,($349.00),($43.80),50.00%,$2.68,$25.60,($20.23),$35.60,($21.90),230.00,$12.92,$20.00,$17.32,2.43%,
9/29/2025,2,($233.50),$61.20,$61.20,$0.00,$3.80,($264.10),$0.00,100.00%,$30.60,$30.60,$0.00,$30.60,$0.00,25.00,$12.50,$32.50,$1.90,0.81%,
10/1/2025,3,($229.20),$4.30,$8.10,($3.80),$5.70,($237.30),($3.80),33.33%,$1.43,$8.10,($1.90),$8.10,($1.90),15.00,$9.17,$17.50,$16.07,1.21%,
10/3/2025,2,($280.50),($51.30),$0.00,($51.30),$3.80,($280.50),($51.30),0.00%,($25.65),$0.00,($25.65),$0.00,($25.65),10.00,$27.50,$6.25,$31.90,0.81%,
10/7/2025,1,($248.65),$31.85,$31.85,$0.00,$1.90,($248.65),$0.00,100.00%,$31.85,$31.85,$0.00,$31.85,$0.00,5.00,$3.75,$33.75,$1.90,0.40%,
10/9/2025,2,($281.20),($32.55),$0.00,($32.55),$3.80,($281.20),($32.55),0.00%,($16.28),$0.00,($16.28),$0.00,($19.40),165.00,$14.38,$0.00,$16.28,0.81%,
10/13/2025,3,($361.90),($80.70),$0.00,($80.70),$5.70,($361.90),($80.70),0.00%,($26.90),$0.00,($26.90),$0.00,($29.40),20.00,$25.00,$0.00,$26.90,1.21%,
10/14/2025,1,($353.80),$8.10,$8.10,$0.00,$1.90,($353.80),$0.00,100.00%,$8.10,$8.10,$0.00,$8.10,$0.00,5.00,$3.75,$17.50,$9.40,0.40%,
10/15/2025,3,($193.25),$160.55,$160.55,$0.00,$5.70,($281.95),$0.00,100.00%,$53.52,$53.52,$0.00,$71.85,$0.00,30.00,$6.67,$61.25,$7.73,1.21%,
10/17/2025,1,($218.90),($25.65),$0.00,($25.65),$1.90,($218.90),($25.65),0.00%,($25.65),$0.00,($25.65),$0.00,($25.65),0.00,$23.75,$0.00,$25.65,0.40%,
10/22/2025,2,($280.20),($61.30),$0.00,($61.30),$3.80,($280.20),($61.30),0.00%,($30.65),$0.00,($30.65),$0.00,($30.65),15.00,$32.50,$26.25,$56.90,0.81%,
10/23/2025,3,($297.15),($16.95),$0.00,($16.95),$5.70,($297.15),($16.95),0.00%,($5.65),$0.00,($5.65),$0.00,($13.15),150.00,$21.25,$23.33,$28.98,1.21%,
10/28/2025,1,($306.55),($9.40),$0.00,($9.40),$1.90,($306.55),($9.40),0.00%,($9.40),$0.00,($9.40),$0.00,($9.40),0.00,$7.50,$0.00,$9.40,0.40%,
10/31/2025,2,($307.85),($1.30),$0.00,($1.30),$3.80,($307.85),($1.30),0.00%,($0.65),$0.00,($0.65),$0.00,($0.65),10.00,$10.00,$22.50,$23.15,0.81%,
11/4/2025,2,($344.15),($36.30),$0.00,($36.30),$3.80,($344.15),($36.30),0.00%,($18.15),$0.00,($18.15),$0.00,($25.65),175.00,$16.25,$0.00,$18.15,0.81%,
11/5/2025,1,($354.80),($10.65),$0.00,($10.65),$1.90,($354.80),($10.65),0.00%,($10.65),$0.00,($10.65),$0.00,($10.65),0.00,$8.75,$0.00,$10.65,0.40%,
11/6/2025,4,($356.15),($1.35),$46.85,($48.20),$7.60,($385.45),($30.65),25.00%,($0.34),$46.85,($16.07),$46.85,($30.65),5.00,$10.63,$12.19,$12.53,1.62%,
11/7/2025,3,($329.35),$26.80,$30.60,($3.80),$5.70,($359.95),($3.80),33.33%,$8.93,$30.60,($1.90),$30.60,($1.90),20.00,$0.00,$38.33,$29.40,1.21%,
11/10/2025,1,($346.25),($16.90),$0.00,($16.90),$1.90,($346.25),($16.90),0.00%,($16.90),$0.00,($16.90),$0.00,($16.90),0.00,$15.00,$0.00,$16.90,0.40%,
11/12/2025,1,($326.90),$19.35,$19.35,$0.00,$1.90,($326.90),$0.00,100.00%,$19.35,$19.35,$0.00,$19.35,$0.00,0.00,$0.00,$21.25,$1.90,0.40%,
11/13/2025,3,($268.85),$58.05,$88.70,($30.65),$5.70,($357.55),($30.65),66.67%,$19.35,$44.35,($30.65),$44.35,($30.65),0.00,$12.08,$30.83,$11.48,1.21%,
11/14/2025,4,($252.70),$16.15,$53.70,($37.55),$7.60,($293.25),($24.40),50.00%,$4.04,$26.85,($18.78),$33.10,($24.40),120.00,$8.44,$21.56,$17.53,1.62%,
11/17/2025,2,($199.00),$53.70,$53.70,$0.00,$3.80,($238.35),$0.00,100.00%,$26.85,$26.85,$0.00,$39.35,$0.00,0.00,$0.00,$28.75,$1.90,0.81%,
11/18/2025,2,($250.30),($51.30),$0.00,($51.30),$3.80,($250.30),($51.30),0.00%,($25.65),$0.00,($25.65),$0.00,($25.65),5.00,$23.75,$10.00,$35.65,0.81%,
11/20/2025,2,($335.35),($85.05),$0.00,($85.05),$3.80,($335.35),($85.05),0.00%,($42.53),$0.00,($42.53),$0.00,($63.15),150.00,$40.63,$0.00,$42.53,0.81%,
11/21/2025,2,($360.40),($25.05),$8.10,($33.15),$3.80,($360.40),($33.15),50.00%,($12.53),$8.10,($33.15),$8.10,($33.15),205.00,$27.50,$13.13,$25.65,0.81%,
11/24/2025,1,($326.05),$34.35,$34.35,$0.00,$1.90,($326.05),$0.00,100.00%,$34.35,$34.35,$0.00,$34.35,$0.00,5.00,$13.75,$36.25,$1.90,0.40%,
12/1/2025,1,($327.95),($1.90),$0.00,($1.90),$1.90,($327.95),($1.90),0.00%,($1.90),$0.00,($1.90),$0.00,($1.90),5.00,$8.75,$13.75,$15.65,0.40%,
12/3/2025,4,($379.30),($51.35),$27.45,($78.80),$7.60,($406.75),($78.80),50.00%,($12.84),$13.73,($39.40),$14.35,($39.40),165.00,$18.75,$7.81,$20.65,1.62%,
