Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
8/21/2025,6,($105.85),$12.35,$39.95,($27.60),$11.40,($142.00),($23.80),33.33%,$2.06,$19.98,($6.90),$26.85,($11.90),20.00,$3.33,$7.29,$5.23,2.53%,
8/22/2025,1,($140.25),($34.40),$0.00,($34.40),$1.90,($140.25),($34.40),0.00%,($34.40),$0.00,($34.40),$0.00,($34.40),20.00,$32.50,$11.25,$45.65,0.42%,
8/29/2025,2,($96.55),$43.70,$43.70,$0.00,$3.80,($117.15),$0.00,100.00%,$21.85,$21.85,$0.00,$23.10,$0.00,5.00,$1.25,$26.25,$4.40,0.84%,
9/2/2025,2,($142.85),($46.30),$0.00,($46.30),$3.80,($142.85),($46.30),0.00%,($23.15),$0.00,($23.15),$0.00,($23.15),0.00,$21.25,$0.00,$23.15,0.84%,
9/3/2025,1,($127.25),$15.60,$15.60,$0.00,$1.90,($127.25),$0.00,100.00%,$15.60,$15.60,$0.00,$15.60,$0.00,0.00,$0.00,$17.50,$1.90,0.42%,
9/5/2025,2,($189.80),($62.55),$0.00,($62.55),$3.80,($189.80),($62.55),0.00%,($31.28),$0.00,($31.28),$0.00,($31.90),90.00,$29.38,$16.25,$47.53,0.84%,
9/17/2025,4,($239.90),($50.10),$0.00,($50.10),$7.60,($239.90),($50.10),0.00%,($12.53),$0.00,($12.53),$0.00,($13.15),30.00,$10.63,$9.38,$21.90,1.69%,
9/19/2025,1,($248.05),($8.15),$0.00,($8.15),$1.90,($248.05),($8.15),0.00%,($8.15),$0.00,($8.15),$0.00,($8.15),0.00,$6.25,$0.00,$8.15,0.42%,
9/22/2025,1,($257.45),($9.40),$0.00,($9.40),$1.90,($257.45),($9.40),0.00%,($9.40),$0.00,($9.40),$0.00,($9.40),25.00,$7.50,$17.50,$26.90,0.42%,
9/25/2025,3,($286.90),($29.45),$6.85,($36.30),$5.70,($286.90),($36.30),33.33%,($9.82),$6.85,($18.15),$6.85,($21.90),240.00,$12.50,$6.25,$16.07,1.27%,
9/26/2025,6,($258.30),$28.60,$86.80,($58.20),$11.40,($322.60),($41.30),50.00%,$4.77,$28.93,($19.40),$44.35,($20.65),225.00,$9.58,$21.46,$16.69,2.53%,
10/1/2025,1,($250.20),$8.10,$8.10,$0.00,$1.90,($250.20),$0.00,100.00%,$8.10,$8.10,$0.00,$8.10,$0.00,0.00,$0.00,$10.00,$1.90,0.42%,
10/7/2025,1,($218.35),$31.85,$31.85,$0.00,$1.90,($218.35),$0.00,100.00%,$31.85,$31.85,$0.00,$31.85,$0.00,5.00,$3.75,$33.75,$1.90,0.42%,
10/9/2025,2,($250.90),($32.55),$0.00,($32.55),$3.80,($250.90),($32.55),0.00%,($16.28),$0.00,($16.28),$0.00,($19.40),165.00,$14.38,$0.00,$16.28,0.84%,
10/13/2025,3,($321.60),($70.70),$0.00,($70.70),$5.70,($321.60),($70.70),0.00%,($23.57),$0.00,($23.57),$0.00,($24.40),20.00,$21.67,$0.00,$23.57,1.27%,
10/14/2025,1,($313.50),$8.10,$8.10,$0.00,$1.90,($313.50),$0.00,100.00%,$8.10,$8.10,$0.00,$8.10,$0.00,5.00,$3.75,$17.50,$9.40,0.42%,
10/15/2025,1,($296.65),$16.85,$16.85,$0.00,$1.90,($296.65),$0.00,100.00%,$16.85,$16.85,$0.00,$16.85,$0.00,0.00,$0.00,$18.75,$1.90,0.42%,
10/17/2025,1,($322.30),($25.65),$0.00,($25.65),$1.90,($322.30),($25.65),0.00%,($25.65),$0.00,($25.65),$0.00,($25.65),0.00,$23.75,$0.00,$25.65,0.42%,
10/22/2025,2,($373.60),($51.30),$0.00,($51.30),$3.80,($373.60),($51.30),0.00%,($25.65),$0.00,($25.65),$0.00,($25.65),15.00,$27.50,$31.25,$56.90,0.84%,
10/23/2025,3,($303.05),$70.55,$83.70,($13.15),$5.70,($386.75),($13.15),66.67%,$23.52,$41.85,($13.15),$50.60,($13.15),0.00,$11.25,$32.08,$8.57,1.27%,
10/28/2025,1,($312.45),($9.40),$0.00,($9.40),$1.90,($312.45),($9.40),0.00%,($9.40),$0.00,($9.40),$0.00,($9.40),0.00,$7.50,$0.00,$9.40,0.42%,
11/4/2025,2,($348.75),($36.30),$0.00,($36.30),$3.80,($348.75),($36.30),0.00%,($18.15),$0.00,($18.15),$0.00,($25.65),175.00,$16.25,$0.00,$18.15,0.84%,
11/5/2025,1,($359.40),($10.65),$0.00,($10.65),$1.90,($359.40),($10.65),0.00%,($10.65),$0.00,($10.65),$0.00,($10.65),0.00,$8.75,$0.00,$10.65,0.42%,
