Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
MES 09-26,Buy,1,7001.00,2/26/2026 12:45:00 PM,NT-00059-147,Exit,-,NT-00088-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7001.00,2/26/2026 12:45:00 PM,NT-00058-147,Exit,1 S,NT-00086-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,6999.50,2/26/2026 12:45:00 PM,NT-00057-147,Entry,2 S,NT-00085-147,C15L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,6999.50,2/26/2026 12:45:00 PM,NT-00056-147,Entry,1 S,NT-00084-147,C15L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7002.25,2/24/2026 11:20:00 AM,NT-00055-147,Exit,-,NT-00082-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7002.25,2/24/2026 11:20:00 AM,NT-00054-147,Exit,1 L,NT-00080-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7008.00,2/24/2026 11:20:00 AM,NT-00053-147,Entry,2 L,NT-00079-147,C14L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7008.00,2/24/2026 11:20:00 AM,NT-00052-147,Entry,1 L,NT-00078-147,C14L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,6986.75,2/19/2026 12:45:00 PM,NT-00051-147,Exit,-,NT-00076-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,6986.75,2/19/2026 12:45:00 PM,NT-00050-147,Exit,1 S,NT-00074-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,6983.75,2/19/2026 12:40:00 PM,NT-00049-147,Entry,2 S,NT-00073-147,A13L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,6983.75,2/19/2026 12:40:00 PM,NT-00048-147,Entry,1 S,NT-00072-147,A13L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,6922.00,2/5/2026 11:20:00 AM,NT-00047-147,Exit,-,NT-00070-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,6922.00,2/5/2026 11:20:00 AM,NT-00046-147,Exit,1 S,NT-00068-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,6915.25,2/5/2026 11:20:00 AM,NT-00045-147,Entry,2 S,NT-00067-147,C12L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,6915.25,2/5/2026 11:20:00 AM,NT-00044-147,Entry,1 S,NT-00066-147,C12L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7024.00,2/3/2026 2:35:00 PM,NT-00043-147,Exit,-,NT-00064-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7024.00,2/3/2026 2:35:00 PM,NT-00042-147,Exit,1 S,NT-00062-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7020.75,2/3/2026 2:35:00 PM,NT-00041-147,Entry,2 S,NT-00061-147,A11L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7020.75,2/3/2026 2:35:00 PM,NT-00040-147,Entry,1 S,NT-00060-147,A11L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7011.75,2/3/2026 2:00:00 PM,NT-00039-147,Exit,-,NT-00059-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Buy,1,7011.75,2/3/2026 2:00:00 PM,NT-00038-147,Exit,1 S,NT-00057-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Sell,1,7026.00,2/3/2026 1:20:00 PM,NT-00037-147,Entry,2 S,NT-00055-147,C10L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7026.00,2/3/2026 1:20:00 PM,NT-00036-147,Entry,1 S,NT-00054-147,C10L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7081.00,1/29/2026 2:35:00 PM,NT-00035-147,Exit,-,NT-00052-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7081.00,1/29/2026 2:35:00 PM,NT-00034-147,Exit,1 L,NT-00050-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7084.25,1/29/2026 2:35:00 PM,NT-00033-147,Entry,2 L,NT-00049-147,C9L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7084.25,1/29/2026 2:35:00 PM,NT-00032-147,Entry,1 L,NT-00048-147,C9L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,6968.75,1/21/2026 12:45:00 PM,NT-00031-147,Exit,-,NT-00046-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,6968.75,1/21/2026 12:45:00 PM,NT-00030-147,Exit,1 S,NT-00044-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,6967.50,1/21/2026 12:35:00 PM,NT-00029-147,Entry,2 S,NT-00043-147,C8L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,6967.50,1/21/2026 12:35:00 PM,NT-00028-147,Entry,1 S,NT-00042-147,C8L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,6995.50,1/21/2026 10:25:00 AM,NT-00027-147,Exit,-,NT-00040-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,6995.50,1/21/2026 10:25:00 AM,NT-00026-147,Exit,1 L,NT-00038-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,6996.75,1/21/2026 10:25:00 AM,NT-00025-147,Entry,2 L,NT-00037-147,C7L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,6996.75,1/21/2026 10:25:00 AM,NT-00024-147,Entry,1 L,NT-00036-147,C7L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,6949.75,1/20/2026 2:40:00 PM,NT-00023-147,Exit,-,NT-00034-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,6949.75,1/20/2026 2:40:00 PM,NT-00022-147,Exit,1 S,NT-00032-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,6944.00,1/20/2026 2:40:00 PM,NT-00021-147,Entry,2 S,NT-00031-147,C6L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,6944.00,1/20/2026 2:40:00 PM,NT-00020-147,Entry,1 S,NT-00030-147,C6L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,6951.75,1/20/2026 1:55:00 PM,NT-00019-147,Exit,-,NT-00029-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Buy,1,6962.75,1/20/2026 1:45:00 PM,NT-00018-147,Exit,1 S,NT-00027-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Sell,1,6973.25,1/20/2026 1:30:00 PM,NT-00017-147,Entry,2 S,NT-00025-147,C5L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,6973.25,1/20/2026 1:30:00 PM,NT-00016-147,Entry,1 S,NT-00024-147,C5L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,6984.75,1/20/2026 9:30:00 AM,NT-00015-147,Exit,-,NT-00022-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,6984.75,1/20/2026 9:30:00 AM,NT-00014-147,Exit,1 S,NT-00020-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,6979.50,1/20/2026 9:25:00 AM,NT-00013-147,Entry,2 S,NT-00019-147,A4L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,6979.50,1/20/2026 9:25:00 AM,NT-00012-147,Entry,1 S,NT-00018-147,A4L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7099.25,1/15/2026 3:20:00 PM,NT-00011-147,Exit,-,NT-00016-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7094.00,1/15/2026 3:20:00 PM,NT-00010-147,Exit,1 S,NT-00015-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Sell,1,7099.25,1/15/2026 3:20:00 PM,NT-00009-147,Entry,2 S,NT-00013-147,C3L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7099.25,1/15/2026 3:20:00 PM,NT-00008-147,Entry,1 S,NT-00012-147,C3L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7117.75,1/9/2026 12:20:00 PM,NT-00007-147,Exit,-,NT-00010-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7117.75,1/9/2026 12:20:00 PM,NT-00006-147,Exit,1 L,NT-00008-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7119.50,1/9/2026 12:20:00 PM,NT-00005-147,Entry,2 L,NT-00007-147,C2L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7119.50,1/9/2026 12:20:00 PM,NT-00004-147,Entry,1 L,NT-00006-147,C2L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7068.50,1/8/2026 11:40:00 AM,NT-00003-147,Exit,-,NT-00004-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7068.50,1/8/2026 11:40:00 AM,NT-00002-147,Exit,1 L,NT-00002-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7070.50,1/8/2026 11:40:00 AM,NT-00001-147,Entry,2 L,NT-00001-147,A1L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7070.50,1/8/2026 11:40:00 AM,NT-00000-147,Entry,1 L,NT-00000-147,A1L1,$0.95,1,Backtest,,
